Job Title,Size,Type of ownership,Sector,Revenue,Hourly,Employer provided,AvgSalary,Job Location,Age,Python,spark,aws,excel,sql,sas,keras,pytorch,scikit,tensor,hadoop,tableau,bi,flink,mongo,google_an,seniority_by_title,Degree,NumSkills
Data Scientist,501 - 1000,Company - Private,Aerospace & Defense,$50 to $100 million (USD),0,0,72,NM,48,1,0,0,1,0,1,0,0,0,0,0,1,1,0,0,0,na,M,5
Data Scientist,10000+,Other Organization,Health Care,$2 to $5 billion (USD),0,0,87.5,MD,37,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,na,M,1
Data Scientist,501 - 1000,Company - Private,Business Services,$100 to $500 million (USD),0,0,85,FL,11,1,1,0,1,1,1,0,0,0,0,0,0,0,0,0,0,na,M,5
Data Scientist,1001 - 5000,Government,"Oil, Gas, Energy & Utilities",$500 million to $1 billion (USD),0,0,76.5,WA,56,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,na,na,1
Data Scientist,51 - 200,Company - Private,Business Services,Unknown / Non-Applicable,0,0,114.5,NY,23,1,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,na,na,4
Data Scientist,201 - 500,Company - Public,Real Estate,$1 to $2 billion (USD),0,0,95,TX,21,1,0,1,1,1,0,0,0,0,0,0,0,1,0,1,0,na,na,6
Data Scientist,501 - 1000,Company - Private,Finance,Unknown / Non-Applicable,0,0,73.5,MD,13,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,na,na,1
Data Scientist,201 - 500,Company - Private,Business Services,$25 to $50 million (USD),0,0,114,CA,16,1,1,1,1,1,0,0,1,0,1,0,0,0,0,0,0,na,M,7
Other Scientist,10000+,Hospital,Health Care,$500 million to $1 billion (USD),0,0,61,NY,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,na,P,0
Data Scientist,51 - 200,Company - Private,Information Technology,$100 to $500 million (USD),0,0,140,NY,12,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,na,na,2
Data Scientist,501 - 1000,Company - Private,Retail,$1 to $2 billion (USD),0,0,163.5,CA,10,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,na,na,1
Data Scientist,5001 - 10000,Company - Public,Business Services,$1 to $2 billion (USD),0,0,85,VA,53,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,na,na,2
Data Scientist,10000+,Company - Public,Retail,$10+ billion (USD),0,0,139,TX,59,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,na,M,2
Data Analyst,201 - 500,Company - Private,Business Services,Unknown / Non-Applicable,0,0,65.5,WA,9,1,1,1,1,1,0,0,0,0,0,0,1,1,0,0,0,na,na,7
Data Scientist,10000+,Company - Public,Biotech & Pharmaceuticals,$10+ billion (USD),0,0,113.5,MA,240,1,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,na,M,4
Data Engineer,1001 - 5000,Subsidiary or Business Segment,Media,Unknown / Non-Applicable,0,0,146,NJ,26,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,na,na,1
Other Scientist,51 - 200,Company - Public,Biotech & Pharmaceuticals,$1 to $5 million (USD),0,0,102,MA,10,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,na,P,1
Data Scientist,201 - 500,Company - Private,Information Technology,Unknown / Non-Applicable,0,0,153.5,CA,10,1,1,1,1,0,0,0,0,0,0,1,0,0,0,0,0,na,M,5
Data Scientist,51 - 200,Company - Private,Information Technology,Unknown / Non-Applicable,0,0,142.5,CA,11,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,na,na,1
Data Scientist,501 - 1000,Nonprofit Organization,Insurance,$500 million to $1 billion (USD),0,0,87.5,CO,106,1,0,0,1,1,0,1,1,1,1,0,0,0,0,0,0,na,M,7
Data Scientist,201 - 500,Company - Private,Information Technology,Unknown / Non-Applicable,0,0,105.5,WA,9,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,na,M,3
Data Scientist,201 - 500,Company - Private,Insurance,Unknown / Non-Applicable,0,0,96,TX,8,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,sr,P,1
Data Scientist,501 - 1000,Company - Private,Transportation & Logistics,Unknown / Non-Applicable,0,0,112.5,IL,26,1,0,1,1,1,0,0,0,0,0,0,0,0,0,1,0,na,M,5
Data Scientist,51 - 200,Nonprofit Organization,Transportation & Logistics,$10 to $25 million (USD),0,0,84,KY,86,1,0,0,1,1,0,0,0,0,0,0,1,0,0,0,0,na,M,4
Data Scientist,501 - 1000,Company - Private,Information Technology,$100 to $500 million (USD),0,0,143,VA,9,1,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,na,na,4
Data Scientist,10000+,Company - Public,Biotech & Pharmaceuticals,$10+ billion (USD),0,0,86.5,MA,172,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,na,na,3
Data Scientist,1001 - 5000,Company - Private,Finance,$100 to $500 million (USD),0,0,99.5,OR,69,1,1,1,1,1,0,1,0,1,1,0,1,0,0,0,0,na,na,9
Data Analyst,5001 - 10000,Company - Public,Insurance,$5 to $10 billion (USD),0,0,47.5,MA,169,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,na,na,1
Data Scientist,10000+,Company - Public,Biotech & Pharmaceuticals,$10+ billion (USD),0,0,84,CT,172,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,na,M,2
Data Scientist,501 - 1000,Company - Private,Business Services,$100 to $500 million (USD),0,0,85,FL,11,1,1,0,1,1,1,0,0,0,0,0,0,0,0,0,0,na,M,5
Data Scientist,1001 - 5000,Government,"Oil, Gas, Energy & Utilities",$500 million to $1 billion (USD),0,0,76.5,WA,56,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,na,na,1
Data Scientist,1001 - 5000,Company - Private,Real Estate,$500 million to $1 billion (USD),0,0,96,MI,24,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,na,M,3
Data Scientist,10000+,Company - Public,Biotech & Pharmaceuticals,$10+ billion (USD),0,0,114.5,MA,25,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,na,na,3
Data Scientist,5001 - 10000,Company - Public,Telecommunications,$2 to $5 billion (USD),0,0,121,CA,25,1,1,0,1,1,0,1,0,1,1,0,0,0,0,1,0,na,M,8
Data Scientist,201 - 500,Company - Private,Biotech & Pharmaceuticals,Unknown / Non-Applicable,0,0,112.5,MA,47,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,na,na,2
Data Analyst,201 - 500,Company - Private,Information Technology,Unknown / Non-Applicable,0,0,106,CA,13,1,0,0,1,1,0,0,0,0,0,0,1,1,0,0,0,na,na,5
Data Scientist,1001 - 5000,Company - Private,Information Technology,$1 to $2 billion (USD),0,0,107,CA,52,1,1,1,0,0,0,0,0,0,0,1,1,0,0,1,0,na,M,6
Data Scientist,201 - 500,Company - Private,Aerospace & Defense,$100 to $500 million (USD),0,0,110,MA,11,1,1,0,1,1,0,0,1,1,1,1,0,0,0,0,0,na,P,8
Data Scientist,5001 - 10000,Company - Public,Biotech & Pharmaceuticals,$1 to $2 billion (USD),0,0,147.5,CA,151,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,sr,M,2
Data Engineer,201 - 500,Company - Private,Insurance,$100 to $500 million (USD),0,0,106,NY,36,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,na,M,3
Data Analyst,201 - 500,Company - Private,Information Technology,$50 to $100 million (USD),0,0,88,CA,13,1,0,1,1,1,0,0,0,0,0,0,1,0,0,1,0,na,na,6
Data Engineer,1 - 50,Company - Private,Health Care,Less than $1 million (USD),0,0,98.5,MA,NA,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,na,na,2
Data Scientist,51 - 200,Company - Private,Information Technology,Unknown / Non-Applicable,0,0,142.5,CA,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,na,M,0
Other Scientist,5001 - 10000,Company - Public,Manufacturing,$2 to $5 billion (USD),0,0,82.5,NJ,6,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,na,M,1
Data Scientist,1001 - 5000,Company - Public,Real Estate,$2 to $5 billion (USD),0,0,130,IL,28,1,1,0,1,1,0,0,0,1,0,1,1,1,0,0,0,sr,M,8
Data Scientist,unknown,Company - Private,Information Technology,Unknown / Non-Applicable,0,1,155,DC,NA,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,na,na,2
Data Scientist,10000+,Company - Public,Information Technology,$10+ billion (USD),0,0,184.5,WA,63,1,0,0,1,1,1,0,0,0,0,0,1,0,0,0,0,sr,na,5
Data Analyst,5001 - 10000,Company - Private,Information Technology,$2 to $5 billion (USD),0,0,29.5,CO,35,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,na,M,1
Other Scientist,501 - 1000,Company - Private,Aerospace & Defense,$100 to $500 million (USD),0,0,86.5,OH,22,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,na,M,0
Data Scientist,10000+,Company - Public,Manufacturing,$10+ billion (USD),0,0,81,IL,96,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,na,na,1
Data Scientist,501 - 1000,Subsidiary or Business Segment,Business Services,Unknown / Non-Applicable,0,0,91,FL,37,1,0,0,1,1,0,0,0,0,0,1,1,0,0,0,0,na,na,5
Data Scientist,10000+,Company - Private,Insurance,$10+ billion (USD),0,0,114.5,MA,109,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,na,na,1
Data Scientist,1001 - 5000,Company - Private,Aerospace & Defense,$100 to $500 million (USD),0,0,68,AL,19,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,na,na,3
Data Scientist,10000+,Company - Public,Insurance,$10+ billion (USD),0,0,115,NY,158,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,na,M,3
