"","index","Job Title","Rating","Company Name","Location","Headquarters","Size","Founded","Type of ownership","Industry","Sector","Revenue","Competitors","Hourly","Employer provided","Lower Salary","Upper Salary","AvgSalary","company_txt","Job Location","Age","Python","spark","aws","excel","sql","sas","keras","pytorch","scikit","tensor","hadoop","tableau","bi","flink","mongo","google_an","seniority_by_title","Degree","COL","AdjustedSalary"
"1",0,"Data Scientist",3.8,"Tecolote Research
3.8","Albuquerque, NM","Goleta, CA","501 - 1000",1973,"Company - Private","Aerospace & Defense","Aerospace & Defense","$50 to $100 million (USD)",NA,0,0,53,91,72,"Tecolote Research","NM",48,1,0,0,1,0,1,0,0,0,0,0,1,1,0,0,0,"na","M",92.9,775.02691065662
"2",1,"Data Scientist",3.4,"University of Maryland Medical System
3.4","Linthicum, MD","Baltimore, MD","10000+",1984,"Other Organization","Health Care Services & Hospitals","Health Care","$2 to $5 billion (USD)",NA,0,0,63,112,87.5,"University of Maryland Medical System","MD",37,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"na","M",129.7,674.633770239013
"3",2,"Data Scientist",4.8,"KnowBe4
4.8","Clearwater, FL","Clearwater, FL","501 - 1000",2010,"Company - Private","Security Services","Business Services","$100 to $500 million (USD)",NA,0,0,80,90,85,"KnowBe4","FL",11,1,1,0,1,1,1,0,0,0,0,0,0,0,0,0,0,"na","M",97.9,868.232890704801
"4",3,"Data Scientist",3.8,"PNNL
3.8","Richland, WA","Richland, WA","1001 - 5000",1965,"Government","Energy","Oil, Gas, Energy & Utilities","$500 million to $1 billion (USD)","Oak Ridge National Laboratory, National Renewable Energy Lab, Los Alamos National Laboratory",0,0,56,97,76.5,"PNNL","WA",56,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"na","na",110.7,691.056910569106
"5",4,"Data Scientist",2.9,"Affinity Solutions
2.9","New York, NY","New York, NY","51 - 200",1998,"Company - Private","Advertising & Marketing","Business Services","Unknown / Non-Applicable","Commerce Signals, Cardlytics, Yodlee",0,0,86,143,114.5,"Affinity Solutions","NY",23,1,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,"na","na",128,894.53125
"6",5,"Data Scientist",3.4,"CyrusOne
3.4","Dallas, TX","Dallas, TX","201 - 500",2000,"Company - Public","Real Estate","Real Estate","$1 to $2 billion (USD)","Digital Realty, CoreSite, Equinix",0,0,71,119,95,"CyrusOne","TX",21,1,0,1,1,1,0,0,0,0,0,0,0,1,0,1,0,"na","na",98.5,964.467005076142
"7",6,"Data Scientist",4.1,"ClearOne Advantage
4.1","Baltimore, MD","Baltimore, MD","501 - 1000",2008,"Company - Private","Banks & Credit Unions","Finance","Unknown / Non-Applicable",NA,0,0,54,93,73.5,"ClearOne Advantage","MD",13,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,"na","na",107,686.915887850467
"8",7,"Data Scientist",3.8,"Logic20/20
3.8","San Jose, CA","Seattle, WA","201 - 500",2005,"Company - Private","Consulting","Business Services","$25 to $50 million (USD)",NA,0,0,86,142,114,"Logic20/20","CA",16,1,1,1,1,1,0,0,1,0,1,0,0,0,0,0,0,"na","M",173.5,657.060518731989
"9",8,"Other Scientist",3.3,"Rochester Regional Health
3.3","Rochester, NY","Rochester, NY","10000+",2014,"Hospital","Health Care Services & Hospitals","Health Care","$500 million to $1 billion (USD)",NA,0,0,38,84,61,"Rochester Regional Health","NY",7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"na","P",96.6,631.469979296066
"10",9,"Data Scientist",4.6,"<intent>
4.6","New York, NY","New York, NY","51 - 200",2009,"Company - Private","Internet","Information Technology","$100 to $500 million (USD)","Clicktripz, SmarterTravel",0,0,120,160,140,"<intent>","NY",12,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"na","na",128,1093.75
